BBLCOUNT        1.0         0
0x7fff8b055c18 9 3 9
0x7fff8b055c87 0 1 2
0x7fff8b055c82 9 2 5
0x7fff8b055c79 9 3 9
0x7fff8b0563e0 1 3 12
0x7fff87f5a6ca 0 4 13
0x7fff87f5a6d7 0 2 7
0x7fff87f5a6ce 18 3 9
0x7fff87f5a6d7 3 2 7
0x7fff87f5a6bb 15 2 9
0x7fff87f5a6de 4 2 4
0x7fff87f5a6e2 4 3 16
0x7fff8b0553a4 8 5 14
0x7fff8b0563cd 1 3 19
0x7fff8b0563c1 1 3 12
0x7fff8b0551c0 7 3 8
0x7fff8e5ff085 0 4 14
0x7fff8e5ff00b 1 29 122
0x7fff8b057660 12 1 6
0x7fff8b0551b0 8 4 16
0x7fff8b0563af 1 7 18
0x7fff87f5b8af 4 11 44
0x7fff87f5b8db 4 7 18
0x7fff87f5a679 4 3 10
0x7fff87f5a683 2 3 12
0x7fff87f5a68f 12 2 7
0x7fff87f5a696 0 4 14
0x7fff87f5a6a4 0 3 11
0x7fff87f5a69b 12 3 9
0x7fff87f5a6a4 2 3 11
0x7fff8b0569a3 1 7 19
0x7fff87f5b8ed 4 11 44
0x7fff87f5b919 4 7 18
0x7fff8b056990 1 3 19
0x7fff8b056977 5 9 25
0x7fff8b05528e 5 11 79
0x7fff8b055250 0 9 62
0x7fff8b055210 5 14 64
0x7fff87f5a576 1 1 2
0x7fff87f5a27d 3 6 28
0x7fff87f5a299 3 2 8
0x7fff87f5a586 1 4 13
0x7fff87f5a593 0 3 10
0x7fff87f5a59d 0 9 44
0x7fff87f5a5d2 1 2 4
0x7fff87f5a5d6 0 3 10
0x7fff87f5a5e0 0 10 47
0x7fff87f5a60f 1 3 21
0x7fff87f5a624 1 2 7
0x7fff87f5a62b 1 2 8
0x7fff87f5a633 1 2 13
0x7fff87f5a640 1 7 30
0x7fff87f5a65e 1 2 8
0x7fff87f5a666 4 2 8
0x7fff87f5a66e 4 3 11
0x7fff88902acc 0 3 12
0x7fff88902ac0 8 3 12
0x7fff88902a69 8 3 18
0x7fff88902a34 8 14 53
0x7fff88902a20 8 5 20
0x7fff8d993288 3 1 6
0x7fff8d96f276 2 4 20
0x7fff8d96f266 2 4 16
0x7fff8d96f28e 1 3 13
0x7fff8d96f28a 3 2 4
0x7fff88902f9d 1028 2 2
0x7fff88902f94 3590 3 9
0x7fff88902f8f 3688 2 5
0x7fff88902f80 4590 4 15
0x7fff88902f9d 0 2 2
0x7fff88902f98 1028 2 5
0x7fff88902e5d 0 4 17
0x7fff8d993eb8 1 3 15
0x7fff8d994620 1 2 10
0x7fff8d99326a 20177 1 6
0x7fff8d924782 3 4 15
0x7fff8d92477a 4 3 8
0x7fff8d913749 71 5 11
0x7fff8d913774 71 1 2
0x7fff8d913760 96 6 20
0x7fff8d913749 28 5 11
0x7fff8d913720 99 13 41
0x7fff8d993420 13 1 6
0x7fff8d92475e 4 11 28
0x7fff8d9935ca 4 1 6
0x7fff8d96f2a3 1 7 32
0x7fff8d96f29b 1 3 8
0x7fff88902ad8 8 5 17
0x7fff88902ad8 0 5 17
0x7fff8176f504 0 2 8
0x7fff8176f502 8 1 2
0x7fff8176f4f8 8 3 10
0x7fff85745418 8 1 6
0x7fff8572fbb5 1 34 193
0x7fff8572fb66 1 13 72
0x7fff8572fb5c 1 2 10
0x7fff8572fb57 1 2 5
0x7fff87f6c7b2 1 3 11
0x7fff87f6c7bd 1 10 43
0x7fff87f6c7e8 1 11 48
0x7fff87f62b20 4 2 4
0x7fff85737fd8 28 52 158
0x7fff8b0564e9 1 6 18
0x7fff8b0564d6 1 3 19
0x7fff8b0564c1 1 8 21
0x7fff857453a6 1 1 6
0x7fff8572fd23 1 4 9
0x7fff8572fd23 1 4 9
0x7fff8572fcfd 1 7 38
0x7fff8572fcf4 1 2 9
0x7fff8572ffa3 2 9 18
0x7fff857368ba 2 6 9
0x7fff8573689e 0 10 28
0x7fff8573689a 2 2 4
0x7fff85736882 2 6 24
0x7fff8573687c 2 2 6
0x7fff85736852 0 11 42
0x7fff8573684e 2 2 4
0x7fff85736836 2 6 24
0x7fff85736819 2 12 29
0x7fff8572fca7 1 18 77
0x7fff8572fc76 1 7 49
0x7fff8176f50c 8 1 1
0x7fff8b057642 1 1 6
0x7fff8b055a0e 1 2 8
0x7fff8b055a0a 1 2 4
0x7fff8b057648 4 1 6
0x7fff8b0559f6 1 4 20
0x7fff8b0559ef 1 3 7
0x7fff88903d2b 24 2 2
0x7fff88903d26 22 2 5
0x7fff88903d13 30 6 19
0x7fff88903d00 200 6 19
0x7fff8b05763c 1 1 6
0x7fff8b0559d9 1 6 22
0x7fff8d96d326 1 2 2
0x7fff8d96d316 26 6 16
0x7fff8d96d326 0 2 2
0x7fff8d96d30c 1 10 26
0x7fff8b05764e 1 1 6
0x7fff8572fb4f 1 2 8
0x7fff857454e4 1 1 6
0x7fff8572fb1e 1 12 49
0x7fff8b0559a8 1 10 22
0x7fff8b0559a6 0 1 2
0x7fff8b055998 0 5 14
0x7fff8b055994 1 2 4
0x7fff8b055a74 1 7 12
0x7fff8b055a71 0 8 15
0x7fff8b055a6d 1 2 4
0x7fff8b055a57 1 4 22
0x7fff8b055a4f 1 2 8
0x7fff8b055a49 1 2 6
0x7fff8b055a45 1 2 4
0x7fff8b055a2c 1 5 25
0x7fff8b055a28 1 2 4
0x7fff8b055a16 1 5 18
0x7fff8573ce15 1 5 17
0x7fff8573ce0d 1 2 8
0x7fff8573ce08 1 2 5
0x7fff8573cdfb 0 1 5
0x7fff8573cdf2 1 3 9
0x7fff8573cdd2 1 11 32
0x7fff8573d425 1 3 15
0x7fff8573d70e 1 8 15
0x7fff8573d6d3 1 12 59
0x7fff8573d690 0 5 23
0x7fff8573d680 1 4 16
0x7fff8573d64c 0 5 21
